Match_Number,Date,Local_Time,UTC_Offset,UTC_Time,Home_Team,Away_Team,Group_Stage,Venue,City,Country
1,2026-06-11,13:00,UTC-6,19:00,Mexico,South Africa,Group A,Estadio Azteca,Mexico City,Mexico
2,2026-06-11,20:00,UTC-6,02:00+1,South Korea,Czech Republic,Group A,Estadio Akron,Zapopan,Mexico
3,2026-06-12,15:00,UTC-4,19:00,Canada,Bosnia and Herzegovina,Group B,BMO Field,Toronto,Canada
4,2026-06-12,18:00,UTC-7,01:00+1,United States,Paraguay,Group D,SoFi Stadium,Inglewood,USA
5,2026-06-13,12:00,UTC-7,19:00,Qatar,Switzerland,Group B,Levi's Stadium,Santa Clara,USA
6,2026-06-13,21:00,UTC-7,04:00+1,Australia,Turkey,Group D,BC Place,Vancouver,Canada
7,2026-06-13,18:00,UTC-4,22:00,Brazil,Morocco,Group C,MetLife Stadium,East Rutherford,USA
8,2026-06-13,21:00,UTC-4,01:00+1,Haiti,Scotland,Group C,Gillette Stadium,Foxborough,USA
9,2026-06-14,12:00,UTC-5,17:00,Germany,Curacao,Group E,NRG Stadium,Houston,USA
10,2026-06-14,19:00,UTC-4,23:00,Ivory Coast,Ecuador,Group E,Lincoln Financial Field,Philadelphia,USA
11,2026-06-14,15:00,UTC-5,20:00,Netherlands,Japan,Group F,AT&T Stadium,Arlington,USA
12,2026-06-14,20:00,UTC-6,02:00+1,Sweden,Tunisia,Group F,Estadio BBVA,Guadalupe,Mexico
13,2026-06-15,12:00,UTC-7,19:00,Belgium,Egypt,Group G,Lumen Field,Seattle,USA
14,2026-06-15,18:00,UTC-7,01:00+1,Iran,New Zealand,Group G,SoFi Stadium,Inglewood,USA
15,2026-06-15,12:00,UTC-4,16:00,Spain,Cape Verde,Group H,Mercedes-Benz Stadium,Atlanta,USA
16,2026-06-15,18:00,UTC-4,22:00,Saudi Arabia,Uruguay,Group H,Hard Rock Stadium,Miami Gardens,USA
17,2026-06-16,15:00,UTC-4,19:00,France,Senegal,Group I,MetLife Stadium,East Rutherford,USA
18,2026-06-16,18:00,UTC-4,22:00,Iraq,Norway,Group I,Gillette Stadium,Foxborough,USA
19,2026-06-16,20:00,UTC-5,01:00+1,Argentina,Algeria,Group J,Arrowhead Stadium,Kansas City,USA
20,2026-06-16,21:00,UTC-7,04:00+1,Austria,Jordan,Group J,Levi's Stadium,Santa Clara,USA
21,2026-06-17,12:00,UTC-5,17:00,Portugal,DR Congo,Group K,NRG Stadium,Houston,USA
22,2026-06-17,20:00,UTC-6,02:00+1,Uzbekistan,Colombia,Group K,Estadio Azteca,Mexico City,Mexico
23,2026-06-17,15:00,UTC-5,20:00,England,Croatia,Group L,AT&T Stadium,Arlington,USA
24,2026-06-17,19:00,UTC-4,23:00,Ghana,Panama,Group L,BMO Field,Toronto,Canada
25,2026-06-18,12:00,UTC-4,16:00,Czech Republic,South Africa,Group A,Mercedes-Benz Stadium,Atlanta,USA
26,2026-06-18,19:00,UTC-6,01:00+1,Mexico,South Korea,Group A,Estadio Akron,Zapopan,Mexico
27,2026-06-18,12:00,UTC-7,19:00,Switzerland,Bosnia and Herzegovina,Group B,SoFi Stadium,Inglewood,USA
28,2026-06-18,15:00,UTC-7,22:00,Canada,Qatar,Group B,BC Place,Vancouver,Canada
29,2026-06-19,18:00,UTC-4,22:00,Scotland,Morocco,Group C,Gillette Stadium,Foxborough,USA
30,2026-06-19,20:30,UTC-4,00:30+1,Brazil,Haiti,Group C,Lincoln Financial Field,Philadelphia,USA
