team,player_name,position,shirt_number,club
Czech Republic,Matěj Kovář,GK,1,PSV Eindhoven
Czech Republic,David Zima,DF,2,Slavia Prague
Czech Republic,Tomáš Holeš,DF,3,Slavia Prague
Czech Republic,Robin Hranáč,DF,4,TSG Hoffenheim
Czech Republic,Vladimír Coufal,DF,5,TSG Hoffenheim
Czech Republic,Štěpán Chaloupek,DF,6,Slavia Prague
Czech Republic,Ladislav Krejčí,DF,7,Wolverhampton Wanderers
Czech Republic,Vladimír Darida,MF,8,Hradec Králové
Czech Republic,Adam Hložek,FW,9,TSG Hoffenheim
Czech Republic,Patrik Schick,FW,10,Bayer Leverkusen
Czech Republic,Jan Kuchta,FW,11,Sparta Prague
Czech Republic,Lukáš Červ,MF,12,Viktoria Plzeň
Czech Republic,Mojmír Chytil,FW,13,Slavia Prague
Czech Republic,David Jurásek,DF,14,Slavia Prague
Czech Republic,Pavel Šulc,FW,15,Lyon
Czech Republic,Jindřich Staněk,GK,16,Slavia Prague
Czech Republic,Lukáš Provod,MF,17,Slavia Prague
Czech Republic,Michal Sadílek,MF,18,Slavia Prague
Czech Republic,Tomáš Chorý,FW,19,Slavia Prague
Czech Republic,Jaroslav Zelený,DF,20,Sparta Prague
Czech Republic,David Douděra,DF,21,Slavia Prague
Czech Republic,Tomáš Souček,MF,22,West Ham United
Czech Republic,Lukáš Horníček,GK,23,Braga
Czech Republic,Alexandr Sojka,MF,24,Viktoria Plzeň
Czech Republic,Hugo Sochůrek,MF,25,Sparta Prague
Czech Republic,Denis Višinský,FW,26,Viktoria Plzeň
Mexico,Raúl Rangel,GK,1,Guadalajara
Mexico,Jorge Sánchez,DF,2,PAOK
Mexico,César Montes,DF,3,Lokomotiv Moscow
Mexico,Edson Álvarez,DF,4,Fenerbahçe
Mexico,Johan Vásquez,DF,5,Genoa
Mexico,Érik Lira,MF,6,Cruz Azul
Mexico,Luis Romo,MF,7,Guadalajara
Mexico,Álvaro Fidalgo,MF,8,Real Betis
Mexico,Raúl Jiménez,FW,9,Fulham
Mexico,Alexis Vega,FW,10,Toluca
Mexico,Santiago Giménez,FW,11,AC Milan
Mexico,Carlos Acevedo,GK,12,Santos Laguna
Mexico,Guillermo Ochoa,GK,13,AEL Limassol
Mexico,Armando González,FW,14,Guadalajara
Mexico,Israel Reyes,DF,15,América
Mexico,Julián Quiñones,FW,16,Al-Qadsiah
Mexico,Orbelín Pineda,MF,17,AEK Athens
Mexico,Obed Vargas,MF,18,Atlético Madrid
Mexico,Gilberto Mora,MF,19,Tijuana
Mexico,Mateo Chávez,DF,20,AZ
Mexico,César Huerta,FW,21,Anderlecht
Mexico,Guillermo Martínez,FW,22,Pumas
Mexico,Jesús Gallardo,DF,23,Toluca
Mexico,Luis Chávez,MF,24,Dynamo Moscow
Mexico,Roberto Alvarado,FW,25,Guadalajara
Mexico,Brian Gutiérrez,MF,26,Guadalajara
South Africa,Ronwen Williams,GK,1,Mamelodi Sundowns
South Africa,Thabang Matuludi,DF,2,Polokwane City
South Africa,Khulumani Ndamane,DF,3,Mamelodi Sundowns
South Africa,Teboho Mokoena,MF,4,Mamelodi Sundowns
South Africa,Thalente Mbatha,MF,5,Orlando Pirates
South Africa,Aubrey Modiba,DF,6,Mamelodi Sundowns
South Africa,Oswin Appollis,FW,7,Orlando Pirates
South Africa,Tshepang Moremi,FW,8,Orlando Pirates
South Africa,Lyle Foster,FW,9,Burnley
South Africa,Relebohile Mofokeng,FW,10,Orlando Pirates
South Africa,Themba Zwane,MF,11,Mamelodi Sundowns
South Africa,Thapelo Maseko,FW,12,AEL Limassol
South Africa,Sphephelo Sithole,MF,13,Tondela
South Africa,Mbekezeli Mbokazi,DF,14,Chicago Fire FC
South Africa,Iqraam Rayners,FW,15,Mamelodi Sundowns
